headline,sentiment
"Manufacturers Belie Slowing Pace; Capital Goods Sell Briskly, But Consumers' Demand For Autos, Furniture Drops",0
"Smaller Businesses Seeking Loans Still Come Up Empty",-1
"Short Interest Increases at NYSE, Nasdaq",-1
"Treasury Market Takes No Prisoners --- Primary Dealers Are Hardest Hit",-1
"'Correction' Corrects Itself by Day's End; Bear Stearns Leads Rebound for Stocks; Alcoa Slides 5.3%",1
"Stocks and Bonds Finish Quarter With Impressive Rally",1
"Indexes Hit 15-Month High as Nordson Ends Up",1
"The Economy: April's Employment Data Show Third Straight Month of Job Cuts",-1
"First Boston Plans to Lay Off 200 Employees",-1
"The Intelligent Investor: Tempest-Tossed? Take Some Control",0
"Dollar Faces Pressure Against Euro, Yen After Data Brighten Outlook for Europe",-1
"U.S. News: Fed Sees Modest Growth As Jobs, Housing Improve",1
"U.S. Stock Futures Point to Firm Start",1
"REVIEW & OUTLOOK (Editorial) The Mitchell Recession? -- III: Poison and Antidote",0
"Job Market Picks Up, but Slowly",0
"U.S. Treasury Secretary Expects Strong Economic Data in Second Half; Jack Lew Says Recent Economic Data Supports His Optimistic Outlook",1
"Bond Yields Are Viewed Staying Flat --- Until Clinton Plans Are Known, Rates Unlikely to Decline",0
"Fear of Growth: Economic Gains Spook Bond Buyers, but Risk Of Inflation Is Low --- In Fact, Some Experts Think Bigger Peril Is Weakness When Tax Rise Kicks In --- Bentsen's Mortgage-Rate Bet",-1
"3M chief predicts economic growth will slow but stay at 'reasonable' level",0
"FedEx Sees a Bumpy Road for Economy; Shipper Cuts Forecast For Year, Doesnt' Expect Big Lift From Holidays",-1
"Bond Prices Fall On Nervousness Over Refunding --- Traders Fret That Japanese Won't Buy U.S. Issues; Dollar Also Takes Toll",-1
"Small Stocks Face a Challenge This Year --- Some Warn These Shares May Fare No Better Than Big Stocks",-1
"Home Prices Are Still Too High; They would have to decline another 20% just to get back to the historical trend line.",-1
"Bernanke Leaves Investors Disappointed",-1
"Gold Slips Amid Profit-Taking After Positive Economic Data",1
"Investors Corner Fed; Expectations for Action Drive Rally, but Upside Is Unclear",0
"U.S. Appears to Be Allowing New Rise In Federal Funds Rate to Curb Inflation",-1
"Dollar Weakens In Sluggish Day; Gold Gains $1.30",-1
"Fee Fears Jolt AmEx; DJIA Declines 13.78",-1
"Fed Moves to Lower Short-Term Rates; Banks Likely to Follow With Cut in Prime --- Discount Benchmark Is Cut By Half Point, to 5.5%; Federal Funds to 5.75%",1
"Ahead of the Tape",0
"Stocks Slide As Oil Prices Rise Sharply --- Expectation of Cuts In Earnings Estimates Drives Down Shares",-1
"U.S. Government Bonds Flat; Shorter-Dated Notes Fall; Faster Pace of Expansion in Service Sector Offset by Disappointing Jobs Growth in Private Sector",0
"Trade Deficit Widened a Bit During January --- Gap Grew to $12.44 Billion Despite 6% Import Drop; Exports Were Down 10%",-1
"Telecom Sector Boosts Market; SBC, AT&T and Tellabs Gain",1
"Purchasers Say Growth Slowed In December --- Survey Finds Employment, Orders and Output Fell; Price Decline Continued",-1
"Tracking the Economy",0
"Tuesday's markets: Industrials set another high, climbing 10.44",1
"Unemployment Eased to 7.3% In February --- Gain in Service Industries Offset a Steep Decline In Manufacturing Jobs",0
"Toll Brothers Posts 47% Order Decline, Sets Bleak Outlook",-1
"Dollar Demand Is Strong, but Lending Lags Behind",0
"Nasdaq Up; Blue Chips Lose Ground --- Greenspan Testimony Today Stirs Worry",0
"New-Home Sales Drop",-1
"Job News Fuels Deficit Divide",-1
"Big Move Is Expected By the Dow --- But While Some See A Dash to Records, Others Predict Drops",0
"Why Borrowers May Not Benefit From Rate Cut; Many Loans Are Now Tied To Benchmark That Remains High Despite Fed's Moves",-1
"Angell Says Fed Needs to Bring Down Long-Term Rates to Revive Economy",-1
"Stock Market Has Room to Rise, but Investors Have to Be Patient",1
"The 'Conundrum' Explained",0
"Blue Chips Slip Lower",-1
"Ahead of the Tape",0
"Election 2012: Job Gains Drive Romney To Attack Obama Over Gas",0
"A Housing Slowdown Can Put the Brakes on a Job Sector but Open Other Opportunities",0
"Unequal Opportunity: Losing Ground on the Employment Front --- Losing Ground: In Latest Recession, Only Blacks Suffered Net Employment Loss --- Firms Added Whites, Asians And Hispanics Overall, But They Deny Any Bias --- Effects of Seniority, Location",-1
"No Relief in Sight at Pump --- U.S. Gasoline Prices Jumped 6% in February as Critical Refineries Shut Down",-1
"How Big Government Hurts the Average Joe",-1
"REVIEW & OUTLOOK (Editorial): Greenspan's Recovery",1
"Business and Finance",0
"Capital Goods Makers Face More Hard Times --- Machinery Outlays Don't Grow Fast Enough for Industry",-1
"Investors Push Up Stocks, Bonds on Spate of Good News",1
"Producer-Price Report Is Inconclusive --- Index Rises 1% for Month; Excluding Food, Energy, Prices Increased 0.3%",0
"A Taxed Market Reopens",-1
"Shares Climb Sharply as Investors Seek Stocks That Will Prevail in Soft Economy",1
"U.S. News: Housing Initiatives Promoted",1
"Industrials End Off 2.97 as Stocks React to Movements in Oil Prices",-1
"Economy Termed `Uneven' In Nationwide Fed Survey --- District-Bank Data Suggest Consumers and Factories Are Busier, Realty Slow",0
"Stocks Rise But Bonds Fall Slightly --- Second Thoughts About the Fed Help The Dollar Recover",1
"Business and Finance",0
"Credit Market Springs to Life --- Signs of Confidence in World Economy",1
"There Is No 'Structural' Unemployment Problem; A look at the skills-jobs mismatch finds no evidence that changes in the economy explain high joblessness. The problem is slow growth.",-1
"Producer Prices Increased 0.4% For December --- But Most Analysts Blame Temporary Jump Posted By Food, Energy Items",-1
"Stock, Bond Prices Fall; Dollar Soars --- Big Swings Continue As Investors Conclude Fed Won't Cut Rates",-1
"Hot Topic, Blackboard Pace a Broad Decline",-1
"Can Bush Pivot From Tackling Iraq to Weak Economy? --- Unlike His Father, He Hopes to Use Momentum Of Victory to Cut Taxes, Overhaul Medicare",0
"Net at United Technologies Declines 70% --- First-Quarter Results Hurt Due to Slump in Airlines, Buildings, Auto Sectors",-1
"Home Sales Fell In August; Slide Seen Continuing --- Drop of 8.1%, to Annual Rate Of 569,000, Put Volume At Lowest Pace in a Year",-1
"U.S. New-Home Sales Surge 8.3%; Median Price Climbs 7.4%, to $249,700, as Supply Falls to Lowest Level Since January",1
"Ahead of the Tape",0
"Big Economic Expansion Threatens Gains Against Inflation, Some Analysts Contend",-1
"Microcap Funds Climbed 5.54% During August --- Group Claimed No. 1 Spot Among Equity Stocks; Lack of Sellers Is Cited",1
"One Inflation Gauge Is Beginning to Stir",-1
"Short Interest In Nasdaq Issues Increases by 1% --- Nextel, Smurfit-Stone, Dell, Decline; Global Crossing, DoubleClick Advance",-1
"Job Creation Showed Surge During June --- Surprisingly Large Increase Boosts Likelihood Fed Will Lift Interest Rates",1
"Bond Prices Rally Partly on Speculation About Weaker U.S. Data on 3rd Quarter",-1
"Consumer Confidence Plunges to Two-Year Low",-1
"Doing the Math on a Jobless Recovery; President Obama has urged us to be patient, but must we wait until 2018 to get back to full employment?",-1
"Jobless Claims Drop Again",1
"Stocks Gain, But Caution Rules Day --- Inflation Fears Ease Yet Questions Remain On Resolve of the Fed",0
"OECD: Major Economies to Recover at Divergent Speeds; U.S., Japan Set to Pick Up While Russia, Brazil May Slow Down",0
"A Portrait of the Economy",0
"Business and Finance",0
"The Financial Crisis: Global Economic Outlook Grows Darker, IMF Says",-1
"States' Voting on Wages May Boost Kerry; Higher Minimum-Pay Measures Could Increase Turnout by Democratic-Leaning Workers",0
"Global Mutual Funds Bounce Back; Emerging Markets Aided Third-Quarter Returns; 'A Lot of Volatility' Ahead",1
"Inflation Fell To 6-Year Low During 1992 --- Consumer Prices Rose 2.9%; Weak Labor Market, Slow Economy Cited",0
"U.S. News: Retail-Sales Fall Damps Hope That Rebound Is Near",-1
"U.S. Trade Deficit Grew Sharply in April --- Unexpected Deterioration Raises Prospect of Drop In GDP for 2nd Quarter",-1
"Stock Rally Loses Steam Late in Day --- Shares Are Sold Into Run-Up; Bond Prices Slip and Dollar Eases",-1
"A Special Background Report On Trends in Industry And Finance",0
"Winners & Losers",0
"Bonds Tied To Stocks Top Others --- Junk Bonds Outshine Treasurys, Reversing Recession Theories",1
"The Economy: Rise in Durable-Goods Orders Offers Hope for Manufacturing",1
"Retail Issues Follow Techs Down; Talbots, Gap, Federated Take Hits",-1
"REGIONS: New Manufacturing Indicator Puts Midwest Behind the U.S.",-1
"Rally in Stocks Screeches to a Halt --- European-Bailout Worries Weigh Again as Shifting Sentiment Drives Volatility",-1
"Review of international markets: Year-end 1992: Currency traders, analysts expect the dollar to post its oft-predicted rebound this year",1
"Jobs Report Bears Signs of Being Market Pivot Point",0
"Big Regional Banks Report Losses Tied to Bad Loans",-1
"The Fed's Inflated Expectations",-1
"Europe's Pain Is U.S. Gain",1
"Oil-State Banks See Flat Results For 3rd Quarter --- Diversified Economies Mean Higher Prices for Crude Don't End Area's Slump",0
"Dilemma Over Pricing --- From Cereal to Helicopters, Commodity Costs Exert Pressure",-1
"A Budget Surplus Certainly Is Fun -- While It Lasts",0
"Captain Ben Charts a Treacherous Course",-1
"Dollar Eases on Richmond Fed Report; Weak Manufacturing Data Weigh on Greenback",-1
"Personal Income Increased 0.7% During January --- Rise Exceeded Gain of 0.5% In Consumer Spending, But Fed Remains Wary",1
"Greenspan Takes Hard Line on Growth --- Fed Will Continue Raising Rates Unless Spending And Market Cool Down",-1
"Stocks Make a Modest Recovery Amid Worry over Earnings, Rates",1
"GDP Growth Revised Upward For 3rd Quarter --- Slight Change in the Rate Is Largely Considered Insignificant by Analysts",0
"New-Home Sales Rose in April As Capital-Goods Orders Fell; Data Defy Expectations, But Longer-Term Trends Line Up With Fed Outlook",0
"Industrials Gain 12.74 as Investors Show an Interest in Growth Stocks",1
"March Surge in Machine-Tool Orders Boosts 1st-Period Total to 7-Year High",1
"Dollar Falls Back Against Major Rivals",-1
"Tracking the Economy: November Inflation Rate Is Seen Up 0.4% --- Relatively Flat Rise Belies Belief by Some Of a Speed-up Ahead",0
"Business and Finance",0
"Leak Rumors Adding Turmoil to Markets Follow Step to Guard Data More Closely",-1
"Dollar Falls Again Against Yen and Mark",-1
"Treasury Rally Puts 2-Year Yield at New Low --- Government Bonds Draw Buyers on Expectation That the Fed Will Resume Asset Purchases as the Recovery Wavers",-1
"Abreast of the market: High-flying market still has fuel reserves",1
"Crisis on Wall Street: Hartford Allays Concerns and Stock Doubles",1
"Options Traders Take Wait-and-See Approach Ahead of Several Events Set for This Week",0
"Analysts Worry Dana Is Sputtering; Even With Commercial-Truck Environment Strong, Auto-Parts Supplier Draws Concern",-1
"Industrials Decline 48.24 Points As Program Selling Is Stepped Up",-1
"Stock Gyrations Won't Damage Economy --- Experts Say Sharper Drops Are Needed to Cause Tailspin",1
"Short Selling: Short Interest At Nasdaq Hits 4-Month High --- Data Indicate Higher Level Of Investor Skepticism, Suggesting Index Drop",-1
"Economy's Strength Seen Lasting Most of Year --- Analysts' New Optimism Follows Spate of Favorable Reports",1
"Treasurys Stage Modest Relief Rally; Session's Relative Calm Could Be Seen as a Pause Following Sharp Correction",1
"Economic Growth Slowed During the Second Quarter --- Latest U.S. Data Also Show Surge in New Home Sales, Decline in Jobless Claims",0
"Business and Finance",0
"Ahead of the Tape",0
"The Afternoon Report: The Newest Numbers",0
"Some of Wall Street's Favorite Stock Theories Failed to Forsee Market's Slight Rise in 1984",0
"Washington Isn't Spending Too Much; It's normal for deficits to rise during a downturn.The real fiscal challenge is decades down the road.",0
"An Appraisal: More Investors Pessimistic on Stocks But Some Positive Signs Still Cited",0
"Stocks Log Worst Quarter Since '09; Dow Swoons 12% in Period Amid Global Economic Turmoil",-1
"World-Wide",0
"Fed chief signals no rate cuts for now",-1
"Economic Signals Point to a 2013 Recession; The latest numbers for durable goods and personal income send an alarming message. Will it be heard?",-1
"Why Dollar May Be Set for a Rebound",1
"Business and Finance",0
"Help (Very Much) Wanted",1
"Japanese Quietly Expand Role in Chicago's Futures Markets",0
"Treasurys Drop, Led by Long Bond",-1
"Bond Prices Drop as Dollar's Decline Prompts Concern About Fed's Intentions",-1
"U.S. GDP Grows at Slow Pace, Just 1.3%",-1
"Mutual Funds Quarterly Review: Money Funds' Slide Expected to Continue",-1
"Fed Leaves Interest Rates Unchanged --- Policy Makers Don't Fear Threat From Inflation; Factory Orders Increase",1
"The Obama Agenda Bogs Down",-1
"DJIA Posts Slim Gain; Bonds Rise --- Broader Market Fares Worse as Oil Falls; Dollar Ends Mixed",0
"Change We Can Believe In Is All Around Us",0
"Last Week's Drop in Initial Jobless Claims, Other Data Suggest Tight Labor Market",1
"After the Fall: Is the Market's Decline A Buying Opportunity Or a Troubling Omen? --- Stocks' 120-Point Plummet May Be Just a Correction; Some See a Further Drop --- Battered Banks and Biotech",-1
"Consumer Sentiment Bounced Back This Month",1
"Dollar Gets A Small Lift From Data",1
"Fed Dials Back Bond Buying, Keeps a Wary Eye on Growth",0
"Jobless Claims Climb Back Over 400,000",-1
"Business and Finance",0
"Retailers' Sales Declined 0.9% In February --- Weak Auto Buying Led Fall But Consumer Spending Considered to Be Sound",-1
"Industrials Rise to Record; Bonds Gain",1
"Business and Finance",0
"The Unloved Buck: Dollar's Fall Threatens U.S. Growth and Makes Global Markets Dicey --- A 17-Nation Effort to Prop Currency Fails, Causing Jitters on Interest Rates --- New Snag in Japan Trade",-1
"Americans' Net Worth Falls",-1
"Year-End Review of Markets and Finance --- The Dollar: Forecasts of Falling Dollar Abound --- Drop Is a Matter of Time, Say Analysts, Citing U.S. Trade Picture",-1
"U.S. Car Sales Declined 10.7% in Mid-August",-1
"U.S. News: In California, Another Deficit Looms",-1
"Manufacturing Slows Its Pace Of Expansion --- Purchasing Managers Index Shows Reading Slipped In April to 51.3% Level",-1
"Regional Report: Economic Focus / Existing-Home Sales",0
"Repeal Tax Cuts? There They Go Again",0
"Economy Hit As Consumers Tighten Belts; Firms Signal Concern Over Late Payments; 'The Teeth of the Storm'",-1
"U.S. Trade Gap Grew Slightly In September --- Increase in Imports of 3.2% Offset 2.9% Export Gain; Mosbacher Hails News",-1
"As Jobs Surge, Hurdles Linger; Dow Tops 17000 as Investors Look Past Recovery's Soft Spots",1
"Few Good Scenarios in View as Crisis Spreads",-1
"Business and Finance",0
"Wanted: Employees in Michigan and Ohio --- States Compete to Lure Skilled Workers Amid Shortage",1
"Fed Sees Later Recovery Than Analysts --- Officials Say Contraction Could Last Longer; Rates May Fall Further",-1
"Stocks, Bonds Hit by Worries About Inflation; Blue Chips Fall 198.94, While Treasury Yield Goes Above 5% Mark",-1
"Expect the World Economy to Suffer Through 2009",-1
"Rising Oil Prices Raise the Specter of a Double Dip",-1
"Large Stock Focus: Sallie Mae Rises 10%; Nike Declines 3.3%",1
"Analysts Differ On Implication Of Inflation Data --- Many Say Faster 0.5% Rise In Consumer Price Index For August Shows Trend",0
"U.S. News: Fed Holds Fire on Stimulus",-1
"Dollar gets lift from Clinton's call for Germany to reduce interest rates",1
"Industrial Index Backtracks by 7.17, Led by Merck's 4 5/8-Point Decline",-1
"The Financial Crisis: Treasury Weighs Next Step to Stem Crisis",-1
"Dollar Mostly Falls Ahead of March Data On U.S. Trade Deficit",-1
"Junk-Bond Funds Absorb Big Hits --- High-Yield Sector Declines Along With Stocks, Creating Possible Buying Scenarios",-1
"U.S. Government Bonds Rally After Fed Minutes; Yield on Benchmark 10-Year Note Hits Lowest level in More Than a Year",-1
"Consumer Prices Declined 0.3% During April --- Oil Was the Chief Factor; Personal Income Rose, Along With Spending",1
"For New Milacron President Meyer, The Dollar's Loss May Be His Gain",1
"Abreast of the market: Industrials drop 10.38 to 4038.37 on data about producer prices",-1
"Greenspan Sees Recession's End Relatively Soon --- Fed Chief Cites Cheaper Oil, Ending of Gulf Conflict; But He Adds a Warning",1
"Regional Banks Find You Can't Win for Growing All the Time",-1
"Short-Term Rates Rise and Bond Prices Slump Despite Decline in Money Supply",-1
"Inflation Outlook for Food Still Tame",1
"Bond Prices Fall; Stocks End Mixed --- Fed Rate Statement Prompts a Tumble In Dormant Market",-1
"Ahead of the Tape",0
"Euro Upside Is Seen, for Now",1
"New View Into Fed's Response To Crisis",0
"Tracking the Economy",0
"Productivity dropped more than reported for the first quarter",-1
"Bush Accepts Some Blame for Economy in a New Hampshire Campaign Stop",0
"Crude Steady Ahead of Bernanke, Obama Speeches",0
"UPS Profit Jumps On Higher Overseas Shipping Volumes",1
"Profits Sequel Won't Beat Original",-1
"Gap Between Richest, Poorest U.S. Cities Grew Wider in 1987",-1
"Nasdaq's Surge Is Fueled by a Mere Few --- Some Say Laggards Must Shine for Gains to Continue",0
"Economist Sees Year-End Drop in Dollar Due to a Pattern of December Sell-Offs",-1
"1995 Year-End Review of Markets and Finance --- Review of Markets: Programs Made Up 11.3% of Volume On Big Board in '95",0
"Blue Chips Plummet 235.23 Points --- Interest Rates, Economy Cited",-1
"Do Money-Market Funds Still Make Sense?; For short-term needs, yes; but better yields are available elsewhere",0
"Futures Markets: Foreign Currencies Fall as Traders Take Profit on Dollar Decline",0
"A Weaker Dollar Helps Gold Top $1,700 Mark",-1
"Inflation continued cool in September while consumer spending warmed up",1
"Economic Data Fuel Late Rally To Lift Stocks",1
"Forex View: Fiscal Cliff, Data Are Focus",-1
"The Outlook: Recession-Free 1988? Don't Bet the Ranch",-1
"Bond Prices Slump After U.S. Reports Strong 0.9% Rise in Consumer Spending",-1
"Business and Finance",0
"U.S. Import Prices Down 1.5% in November; Falling Oil Prices, Slow Growth Abroad and a Strong Dollar Hold Down Inflation",1
"Moving the Market",0
"Dollar Eases Against Yen and Euro On Speculation Fed Will Raise Rates",-1
"Dow Plunges 265 Points",-1
"Fed Shifts to Worry Over Risk of Slump But Keeps Short-Term Rates Unchanged --- Markets Now Expect Cuts At the End of January As Inflation Fear Fades",0
"Dollar Edges Lower Against Yen, Euro, Barely Fazed by Fed's Tightening Bias",-1
"Obama's Soak-the-Rich Tax Hikes Won't Work; Income tax revenues have been remarkably stable at 8% of GDP, regardless of tax rates. The way to increase revenue is to grow the economy.",-1
"Most Interest Rates Fall on Speculation Of Further Credit-Easing Action by Fed",1
"Dollar Decline May Defy Prevailing Wisdom",-1
"Treasurys' Rally Reaches 6 Weeks",1
"Heard on the street: Greenspan view on stock risk is contradicted",-1
"Glenn Hubbard: The Romney Plan for Economic Recovery; Tax cuts, spending restraint and repeal of Obama's regulatory excesses would mean 12 million new jobs in his first term alone.",1
"Budget Talks Now Are Close To Agreement --- Accord Between Congress, Bush on Cutting Deficit Could Come Late Today",1
"New-Jobs Total Grew Slowly In Latest Month --- But Unemployment Fell, Heating Up the Debate On Cut in Interest Rates",0
"Consumer Prices Held Steady in August --- Declining Costs for Energy Keep Index From Rising, Breaking 3-Year Streak",1
"Best Buy, FedEx Jump; Nasdaq Up for Year",1
"Corrections & Amplifications",0
"Trade deficit narrowed in February, as aircraft sales led exports higher",1
"Ahead of the Tape",0
"Tracking Travel",0
"Dollar Expected To Remain Firm In Coming Week",1
"Iraq Crisis Shows U.S.'s Nonpareil Power, Yet Exposes Weakness in Economic Role",0
"U.S. News: Hopes for a Turnaround Grow Dimmer As Worried Consumers Save, Don't Spend",-1
"U.S. News: Fed's Gamble: Buying Long Bonds",0
"Industrials Drop 33.17, Bonds Skid --- Strong Inflation Data Cited for Declines; Dollar Ends Mixed",-1
"High Technology --- High-Tech Sector Is Picking Up Steam Throughout the Lone Star State",1
"Federal Reserve May Have to Accelerate Tapering, Says Plosser; U.S. Economic Growth Picked Up Pace in Second Half of 2013",1
"Thinking Things Over: Accounting Fictions 1, Stimulus 0",-1
"Treasury Prices Drop as Investors Absorb News Of the Federal Reserve's New Stance on Rates",-1
"Fed Lifts Rates a Quarter Point, As Economy Gains 'Traction'; Policy Makers Say Fears Of Inflation Have Eased During Recent Months",1
"Ahead of the Tape",0
"Wage Stagnation May Be Ending",1
"Jobless Rate Fell To 7.7% in July As Payrolls Rose --- Report Suggests Economy Remains at a Standstill; Special Program Helped",0
"Flat Prices Bode Well for Economy",1
"Fed Probably Will Decide to Increase Short-Term Rates, Comments Suggest",-1
"Business and Finance",0
"It Would Take a Lot For Fed to Raise Rates",1
"U.S. News: Prices Drop but Threat Of Deflation Is Remote",0
"U.S. News: Businesses Spend More --- Orders for Equipment Rise in Encouraging Sign for Recovery",1
"Economic Forecasters Cut Estimate of Slowdown",1
"Hopes for a Summer Rally Fuel Big Gains for Stocks",1
"Bond Surge on Volcker Testimony Triggers Industrials' 10.38 Advance",1
"A Jobless Recovery Is a Phony Recovery",-1
"J.P. Morgan, Bank One, Mellon Rise on Fleet Deal, as Market Soars",1
"U.S. News: Increase In Exports Bodes Well For Growth",1
"Bush Aims to Pacify Investors, Touts Economy",1
"Retail Sales Jumped 1.4% For February --- Strong Increase Conflicts With Signs of Factory Weakness; Imports Cited",1
"Retailers Report Modest Gains For January --- Post-Christmas Drop Off In Spending Less Severe Than Concerns Expected",1
"Dow Rallies to Gain 75 Points",1
"Both Parties Divided Over GOP 'Cliff' Idea; Proposal Would Reduce Federal Spending and Raise Tax Collections By Using a Different Index for Inflation Adjustments",0
"Rising Profits May Boost Stock Market",1
"Dollar's Sudden, Sharp Slide After Weeks Of Stability Sends Stock Market Lower",-1
"Trade Deficit Set High in 1983 Of $69.39 Billion --- Baldrige Sees Wider 1984 Gap Despite the Improvement Posted for Last Month",-1
"McDonald's Helps Push the Dow to 2-Year Highs",1
"Dow Rallies On, Rising 197.84 --- Gold Flirts With $1,300; Blue Chips Stay On Pace for Best September Since 1939",1
"Stocks Rise Amid Upbeat Signs From Fed",1
"Bank One Warns 1st-Quarter Profit May Miss Estimates",-1
"Dollar Eases Against Mark Despite Cut In German Rates and Bullish U.S. Data",-1
"Builders Dangle Cheap Financing; In the Face of Rising Interest Rates, Developers Are Offering New Incentives to Keep Houses Moving",0
"The Financial Crisis: Slowing Inflation Opens the Door For Fed to Cut Interest Rates Further",1
"Pricey Jeans Give Hanmi CEO Leg-Up to the Top Rank of Forecasters",0
"U.S. Budget Deficit Shrank in January To $2.17 Billion",1
"Oil Climbs to 3-Week High",-1
"Federal Reserve Holds Steady Amid Market Volatility; Bond Buying Set to End at October Meeting Despite Global Economic Uncertainties",0
"Business and Finance",0
"Ahead of the Tape",0
"Fed, Profits Push the Dow to 16000 --- Blue-Chip Average Up 22% for Year, Though Earnings Growth Is Slowing",1
"Economic Forecasters Expect Moderate Recovery in 2002 --- Growth Is Seen Rising To 3.6% Later in Year, Subpar for Trough End",1
"Clothing Retailers Report Stronger Earnings",1
"Industry Output Declined 0.5% During June --- Drop Was Index's Fourth In the Past Five Months; Retail Sales Rose 0.2%",-1
"Industrials Climb 19.55 to 2999.75 on Strength of Earnings Reports",1
"Stocks Drop in Moderate Trading As New Gain by Bonds Is Ignored",-1
"A Special Background Report On Trends in Industry And Finance",0
"Rally Broadens in Very Heavy Day Carrying Industrials 19.33 Higher",1
"U.S. Investors Are Losing Their Balance",-1
"Precious Little to Halt Rising Fear Factor",-1
"Dumping on the Dollar",-1
"Abreast of the market: Market's logic: Skepticism is feeding the rally",0
"Central Bank's Mandate Draws a Spotlight",0
"Futures Markets: Copper Prices Rise Second Day in a Row Due to Indications of Improved Economy",1
"Consumers Give Year a Robust Start; Income and Spending Gains Augur Strong GDP Growth; Lift From Medicare Benefit",1
"U.S. News: Tug of War on Timing for Belt-Tightening",0
"Treasurys Fall for Third Day in a Row --- Initial Reports on the War Will Help Shape Outlook For Market, Analysts Say",-1
"U.S. News --- CAPITAL: Channeling Milton Friedman",0
"How the Recovery Went Wrong; Of the 11 recoveries in the last 60 years, this one is at or near the bottom in job growth and every other economic indicator.",-1
"U.S. Stocks Set 5-Month Low, Tumbling 1.7% --- Trading Is Extremely Light As Corporate and War News Continue to Damp Enthusiasm",-1
"Update on How Some Firms, Programs Progressed in 1985",0
"As Airlines Post Results, Capacity Is the Question",0
"Ahead of the Tape",0
"Fed Is Halting Auctions Of Its Mortgage Bonds",-1
"Business and Finance",0
"Abreast of the market: Big losers of '95 weaken case for bull's strength",-1
"Jobless Claims Climb a Bit",-1
"Ahead of the Tape",0
"Markets Lose Steam as Investors Fret Over Commodities, Treasury Yields",-1
"College Grads' Job Prospects Look Brighter",1
"Business and Finance",0
"Business and Finance",0
"Banks Weigh on the Dow",-1
"Stocks Can't Sustain Rally After Fed Economic Report",-1
"U.S. companies slashed nearly 600,000 jobs...",-1
"Cost-Cutting Airlines Grapple With Issue of Executive Pay",-1
"Industrial Shares Climb 24.19 Points But Traders Are Wary of a Reversal",0
"Clinton aides see improving trend in productivity",1
"Inventories, Sales Rose 0.4% In November --- Figures Suggest Merchants, Manufacturers Balanced Stock Against Demand",1
"Labor Statistics Are Lying",-1
"Business and Finance",0
"Bond Prices Rise Slightly as Market Still Awaits News on Deficit Cutting",1
"Dollar Rises Slightly Against Major Units; Gold Closes Higher --- A Wall Street Journal News Roundup",1
"U.S. News: President's Focus: $4 Trillion --- But No Progress in Bipartisan Talks on Obama's Goal of Budget Cuts, Tax Increases",-1
"Bonds Plunge as Drop in Dollar Renews Fear of Reduction in Foreign Buying",-1
"Renewed Rate Concerns Damp Early Rally as Industrials Gain 2.73",0
"Dollar Weakens In Light Trading; Gold Rises $2.10",-1
"Stocks End Mixed in Busy Session; Elections Are Center of Attention",0
"Dollar Falls on Softer Inflation, Weak U.S. Data",-1
"Business and Finance",0
"Fed Panel Agreed On Steady Policy In Late September",0
"Stocks Gain But Bonds Keep Falling --- Dow's Rebound Halts Fears of Big Sell-Off; Dollar Finishes Mixed",1
"Fed Considers More Action Amid New Recovery Doubts",-1
"Fed Was Leaning toward Lower Rates in Late August Despite Inflation Worry",1
"Gold Leaps 1.9% to Top $800, Its Highest in Nearly 28 Years",1
"Tracking the Economy: Economy Kept Hearty Pace Last Month Despite Slight Slip, Purchasers Report",1
"Trade Deficit in November Widened to Record Level --- Higher Oil Prices, Hoarding Related to Y2K Spurred Big Increase in Imports",-1
"Pendulum Swings for Retirement Charges",0
"Fidelity to Lay Off 1,695 Employees --- Market Slump Is Blamed; Mutual-Fund Firm to Spare Money Managers, Analysts",-1
"Fed Felt Hamstrung By 2005 Housing Bubble",-1
"U.S. Industrial Output Climbed 0.6% in February --- In Another Sign of Upturn, Home Starts Jump 9.6%; Prices Increase Modestly",1
"U.S. News: Fed Looks at Low-Rate Peg",0
"Fiscal '92 Budget Gap Now Is Estimated at $290 Billion, Smaller Than Expected",1
"Fed's Fisher Pins Slow Growth on Politicians",-1
"Toward Zero: As Fed Cuts Rates Yet Again, Its Powers Seem to Be Limited --- Nation's Shaky Confidence Resists Monetary Cure; Japan's Spooky Example --- Auto Sales Offer Some Hope",-1
"'Reflation' Comes Into Focus as U.S. Struggles to Battle Deflation",-1 
"The Economy: Consumers Are Spending Big Time; Tax Cuts Provide Impetus, But Some Economists Warn Jump May Not Continue",1 
"Worries on Fed Move Pound Stocks, Bonds",-1 
"Stock Market Quarterly Review --- Wall Street's Woe: Securities Underwriting Declined in Third Quarter --- Global Volume Fell 12.6%, Though Terror Attacks Hurt Year-Earlier Performance",-1 
"Select Cities See Brain Gain; Metro Areas With High Education and Income Levels Widen Lead, Census Finds",1
"U.S. News: Industry Picks Up the Pace",1
"Mortgage Rates Fall to 2010 Low",1
"Reports Calm Fear of Inflation Sprawling Across the Economy; Producers Weather the Pain Of Rocketing Energy Prices; Housing Sector Stays Cool",1
"The Outlook: A Little-Noted Rise In Barriers to Growth",-1
"Federal Reserve Adds 157 Stocks to List Of OTC Securities Under Margin Rules",0
"A Peek at Trucking Data, and Then the Stock Surged; Glimpses of Key Figures Can Aid Investors in Truck Stocks, Soybeans, Bed Makers and Others",1
"Dollar Will Fall in Summer but Return To Current Level Later in '86, Many Say",0
